Well_Completion_BID,Fluid_Prod_m3,Gas_Prod_m3,End_Month_Date,Prod_Month_Count,Pool_Code,Pool_Long_Name
SK WI 131080203429W300,137,0,6/30/2001 0:00,1,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,71,0,7/31/2001 0:00,2,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,55.1,0,8/31/2001 0:00,3,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,50.1,0,9/30/2001 0:00,4,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,57.9,0,10/31/2001 0:00,5,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,58.6,0,11/30/2001 0:00,6,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,50.8,0,12/31/2001 0:00,7,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,58,0,1/31/2002 0:00,8,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,45,0,2/28/2002 0:00,9,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,56,0,3/31/2002 0:00,10,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,44,0,4/30/2002 0:00,11,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,66.2,0,5/31/2002 0:00,12,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,58,0,6/30/2002 0:00,13,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,50.6,0,7/31/2002 0:00,14,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,51,0,8/31/2002 0:00,15,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,52,0,9/30/2002 0:00,16,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,47,0,10/31/2002 0:00,17,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,42,0,11/30/2002 0:00,18,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,50.8,0,12/31/2002 0:00,19,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,49,0,1/31/2003 0:00,20,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,38.6,0,2/28/2003 0:00,21,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,49.5,0,3/31/2003 0:00,22,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,45,0,4/30/2003 0:00,23,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,43.6,0,5/31/2003 0:00,24,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,43,0,6/30/2003 0:00,25,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,43.2,0,7/31/2003 0:00,26,441437,Bakken Sand (Misc Area 2)
SK WI 131080203429W300,41,0,8/31/2003 0:00,27,441437,Bakken Sand (Misc Area 2)
